,id,rid,uid,gid,context,stimuli,response,created_at,published,tid,detailedness,novelty,usefulness,context_features,response_features,stimuli_features,combined_features,context_cluster,response_cluster,stimuli_cluster,stimuli_triples,response_triples,context_triples
0,7,7,34,34,my sensor should detect movement,if i get up late night,lights in  my house should go on,2016-08-09 19:14:44,1,7,3.0,1.5,3.0,"[-0.24012473 -0.4970105   0.13684209 ...  0.40398356  0.91053575
  0.36491132]","[ 0.6372073  -0.15490255 -0.16534832 ...  0.19423226 -1.4272149
 -0.35416624]","[ 0.10636809  1.3713331  -0.94683206 ...  1.2442853  -0.17225584
  0.03277495]","[ 0.5034507   0.7194201  -0.97533834 ...  1.8425012  -0.6889349
  0.04352003]",12,15,15,"[['i', 'get', 'night']]","[['lights', 'go', '']]","[['sensor', 'detect', 'movement']]"
1,9,9,34,34,movement should be detected,if there is movement outside of the house,lights should go on for visibility during the dark night,2016-08-09 19:17:58,1,9,0.0,2.0,1.5,"[-0.3728496  -0.15213583  0.48329467 ... -0.0278172   0.8335904
  1.3077797 ]","[-0.26996765  1.0718747   0.00528787 ...  0.9604061  -0.8687814
 -0.6534409 ]","[ 0.09133619 -1.2169726  -0.01007556 ... -0.04492746 -0.64272064
 -0.22460294]","[-0.55148107 -0.2972337   0.47850698 ...  0.88766146 -0.67791164
  0.42973584]",12,12,7,"[['there', 'is', 'movement']]","[['lights', 'go', 'visibility']]","[['movement', 'detected', '']]"
2,10,10,34,34,if a person is reading,the house should change the lightning brightness or color,the lights should turn up bright white so that the person can see what he is reading.,2016-08-09 19:19:16,1,10,3.5,2.0,4.0,"[ 0.05875519  0.5088375  -0.51505744 ...  0.1937337   0.1676489
  0.39455625]","[-0.05211101  0.7839245  -0.7089001  ...  0.36316043 -0.1742433
  0.3563705 ]","[ 0.37435862  0.60147446 -0.46938685 ...  0.5148364  -3.114682
 -0.51900285]","[ 0.3810028   1.8942366  -1.6933444  ...  1.0717305  -3.1212764
  0.23192391]",3,13,6,"[['house', 'change', 'lightning']]",[],"[['person', 'reading', '']]"
3,11,7,36,35,There is a storm outside or it is very hot and the ac is on blowing cool air in the house.,Wind or fan may be blowing curtains.,The system should be able to determine it is a continuous motion of a small degree and therefore not register it and continue to shut down the lights at the designated time. ,2016-08-09 19:31:28,1,11,0.0,4.5,4.0,"[-0.22121985  0.29706702 -0.19535016 ... -0.31930035 -0.51323587
 -0.32716027]","[ 0.00853565 -0.4573548   0.09535591 ... -0.10793239 -0.1614572
  0.81945956]","[ 0.8357526   0.9749964   0.12108801 ...  1.022899   -1.3033766
  0.5615081 ]","[ 0.6230684   0.8147086   0.02109376 ...  0.5956663  -1.9780697
  1.0538074 ]",22,22,11,[],[],[]
4,14,10,36,35,It is night time and a couple are having a relaxing glass of whine while watching a movie in the evening.,A man has a romantic house guest and they are sitting on the couch in the living room.,The light system should recognize it is getting late and there is a movie on and dim the lights and provide a slightly red hue for romantic atmosphere.,2016-08-09 19:37:52,1,14,0.0,2.5,3.0,"[-0.59307986  0.472128   -1.0522493  ...  0.8651736  -1.3243675
  0.7661105 ]","[ 0.20319828  1.1063526  -0.03698166 ...  0.8876769  -0.84357816
  0.07159524]","[ 0.86717445  0.23765607 -0.7936883  ...  0.2773402  -1.5600302
  0.5426043 ]","[ 0.47729287  1.8161366  -1.8829193  ...  2.0301907  -3.7279758
  1.38031   ]",4,5,14,[],[],[]
5,18,8,37,35,They are too short to reach the light switch.,A small child goes into their room at night.,They system will turn on the lights when the child goes in the room.,2016-08-09 19:54:22,1,18,4.0,3.0,4.0,"[ 0.27288118  0.541398   -0.19844691 ...  0.97363734 -0.06482336
  0.5249792 ]","[ 0.8631222  -0.02058613 -0.13238938 ... -0.01886814 -1.1180764
  0.76761824]","[ 1.0837852  -0.33221892 -0.6378042  ...  0.06964048 -0.6840965
  0.20310898]","[ 2.2197886   0.18859294 -0.9686405  ...  1.0244098  -1.8669963
  1.4957063 ]",22,15,4,[],[],[]
6,19,9,38,35,The system should detect the movement and turn on a corresponding light in the area.,There is movement outside close to the house.,Specific outdoor lights turn on to illuminate the movement outside.,2016-08-09 19:54:44,1,19,0.0,3.0,4.0,"[-0.36930016 -0.14384325  0.30207258 ...  0.89925194 -0.05532517
  0.17768668]","[-0.6101763   0.21121128  0.63026327 ...  1.0222344  -0.695691
 -0.7028021 ]","[-0.19395566 -0.55154985  0.66868997 ...  0.30400044 -0.7794247
 -0.00982349]","[-1.1734321  -0.48418182  1.6010258  ...  2.2254868  -1.5304408
 -0.53493893]",12,19,7,[],[],[]
7,22,9,37,35,The cat annoyingly triggers the light for the third time this week.,There is a stray cat outside.,The lights won't come on when the movement comes from a small creature.,2016-08-09 19:56:41,1,22,0.0,2.0,3.0,"[ 0.01750332  0.5645801  -0.22913401 ...  0.40521103 -1.8607714
 -0.34541306]","[-0.78217834 -0.27275667 -0.12772164 ... -0.4122528   0.46102542
  0.27221882]","[-0.06406069  0.10318645 -0.7949633  ...  0.9369602   0.33182034
 -0.05546683]","[-0.8287357   0.39500985 -1.151819   ...  0.9299184  -1.0679257
 -0.12866107]",14,22,11,[],[],[]
8,23,8,38,35,The system should be set at such a level to detect slow movement.,"A person walks into the room very slowly, making it difficult for the system to detect.",The system picks up the slow movement and turn on the lights.,2016-08-09 19:58:08,1,23,4.0,4.5,2.5,"[-0.03448144 -0.1735651  -0.05825885 ...  0.36635283 -0.93309885
  1.2437702 ]","[-0.35038134  0.05910699  0.02435656 ...  0.8907417  -0.6329053
 -0.02526803]","[ 1.0757754  -0.46741167 -0.6744548  ...  0.6784005   0.0340134
  1.1928797 ]",[ 0.6909126 -0.5818698 -0.7083571 ...  1.935495  -1.5319908  2.4113817],3,21,4,[],[],[]
9,24,10,37,35,You have the lights dimmed for the movie but you are scared and want them bright.,You are watching a scary movie,"You give the smart lights a code word and the lights immediately come on full force to scare of any monsters, ghosts or demons. Whew, close call! ",2016-08-09 20:04:34,1,24,4.5,3.0,3.5,"[ 0.25337198  0.65017146  0.02342    ... -0.09350444 -0.16215494
  0.7342744 ]","[ 0.15651815  0.19155496 -0.29367843 ...  0.5737311  -0.13336565
  0.070563  ]","[ 0.5386015   0.8885069  -0.00535583 ... -0.3614483   0.05989441
  0.9476274 ]","[ 0.94849163  1.7302334  -0.27561426 ...  0.11877841 -0.23562618
  1.7524648 ]",22,16,15,"[['You', 'watching', 'movie']]",[],[]
10,25,7,37,35,"You leave home with the lights set to go off, but that naughty cat knocks off a vase causing a loud bang. The lights come on running up the electricity too.",The cat knocks a vase off.,The system recognizes that a non-human creature made the noise and keeps the lights off.,2016-08-09 20:09:20,1,25,0.0,4.0,4.5,"[-0.02497663  0.18279265  0.3016215  ...  0.9276725  -1.7265023
 -0.30992278]","[-0.92421216 -1.3361993  -0.10612345 ... -0.46169275  0.2510856
  0.356594  ]","[ 0.4731409   0.12058043  0.27555245 ...  0.05078258 -2.2510345
  0.98127425]",[-0.4760479 -1.0328262  0.4710505 ...  0.5167623 -3.7264512  1.0279454],14,22,11,[],[],[]
11,27,8,41,36,The lights in the room are not on; it is dark inside.,I open the door and walk into a dark room.,The smart home should respond to my presence and automatically turn the light on.,2016-08-09 20:16:37,1,27,4.0,2.0,3.5,"[-0.49529564  0.01841687  0.01224211 ...  0.73198146 -0.23012942
 -0.9784374 ]","[-0.10931391 -0.27788785 -0.36258164 ...  0.76250505 -1.0306989
 -0.11738056]","[ 0.03428143 -0.08084274 -0.4551335  ...  0.31664595 -0.79963773
 -0.4293295 ]","[-0.5703281  -0.34031373 -0.805473   ...  1.8111324  -2.060466
 -1.5251474 ]",13,2,17,[],[],[]
12,28,9,41,36,The lights are configured to respond to movement; it is night time.,I move outside around the house.,The lights should turn on as a security measure.,2016-08-09 20:17:55,1,28,4.0,1.5,4.0,"[-0.50192654  0.72655433 -0.35250363 ...  0.32367098  0.7440734
  0.1238533 ]","[ 0.23749427  0.06452942 -0.28620648 ...  0.3617353   0.00406442
  0.51789397]","[-0.11107156 -0.6970129   0.12121948 ... -0.31666067 -0.26767027
  0.17291993]","[-0.37550384  0.09407085 -0.5174906  ...  0.36874563  0.48046753
  0.8146672 ]",12,9,7,[],[],[]
13,30,7,37,35,"You are asleep, when your spouse lets out a horrendous fart in his sleep. This loud noise causes the lights to go on, waking the both of you. Your spouse blames the fart on the dog, which causes an argument about his habit of shifting the blame.",You are sleeping and your spouse lets out a loud fart.,The system should come programmed to ignore common bodily noises so the lights stay off.,2016-08-09 20:26:01,1,30,4.5,4.5,4.5,"[ 0.20564853  0.31731296 -0.09165003 ... -0.35505357 -0.69998074
  1.1712421 ]","[-0.88227093 -0.6048173   0.30734605 ... -0.29533175  0.09683063
  0.31053236]","[-0.47905892 -0.04558017 -0.5807573  ... -0.07396066 -0.4979357
  0.86535347]","[-1.1556814  -0.3330845  -0.36506128 ... -0.724346   -1.1010859
  2.347128  ]",14,22,0,[],[],[]
14,35,7,40,36,"Although my pet is moving, the motion detector is set for a certain height requirement.",My dog or cat has access to my home day and night. ,The lights stay off.,2016-08-09 23:41:06,1,35,5.0,2.5,4.0,"[-0.22745048 -0.9944184  -0.74449706 ...  0.70402336  1.0117115
  0.0171788 ]","[-0.25464666 -0.42475742 -0.6449017  ...  0.17143668 -0.6196119
 -0.6146714 ]","[ 0.11945156 -0.7570854  -0.8184237  ...  0.65121084 -1.2901939
 -0.7032574 ]","[-0.36264557 -2.1762612  -2.2078226  ...  1.5266708  -0.89809436
 -1.30075   ]",12,6,3,[],[],[]
